id,question,choices,explanation,answer,document,questions_en
1027,"Một xưởng may trong tuần thứ nhất thực hiện được 3/8 kế hoạch tháng, tuần thứ hai thực hiện được 3/16 kế hoạch, trong tuần thứ ba thực hiện được 1/3 kế hoạch. Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện bao nhiêu phần kế hoạch?","['A. 5/48', 'B. 43/48', 'C. 11/48', 'D. 27/48']","Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện:
 1 − ( 3/8 + 3/16 + 1/3) = 5/48 (kế hoạch)",A. 5/48,"Câu hỏi: Một xưởng may trong tuần thứ nhất thực hiện được 3/8 kế hoạch tháng, tuần thứ hai thực hiện được 3/16 kế hoạch, trong tuần thứ ba thực hiện được 1/3 kế hoạch. Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện bao nhiêu phần kế hoạch?. Các phương án: ['A. 5/48', 'B. 43/48', 'C. 11/48', 'D. 27/48']. Giải thích: Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện:
 1 − ( 3/8 + 3/16 + 1/3) = 5/48 (kế hoạch). Đáp án: A. 5/48","en: A garment factory will fulfill 3/8 of the monthly plan in the first week, 3/16 in the second week and 1/3 in the third week. To fulfill the monthly plan, how much of the plan must be fulfilled in the last week of the factory?"
103,12m2 35dm2 = …… m2. Số thích hợp để điền vào chỗ chấm là:,"['A. 1235', 'B. 12,35', 'C. 123,5', 'D. 1,235']",,"B. 12,35","Câu hỏi: 12m2 35dm2 = …… m2. Số thích hợp để điền vào chỗ chấm là:. Các phương án: ['A. 1235', 'B. 12,35', 'C. 123,5', 'D. 1,235']. Giải thích: nan. Đáp án: B. 12,35",en: The appropriate numbers to fill in the pile are: 12m2 35m2 =...... m2. The appropriate numbers to fill in the pile are:
1030,"Mua 10 kg hết 82 000 đồng. Vậy mua 2,5 kg gạo như vậy hết số tiền là:","['A. 18 000 đồng', 'B. 20 500 đồng', 'C. 205 000 đồng', 'D. 164 000 đồng']","Mua 2,5 kg gạo như vậy hết số tiền là: 82 000 : 10 ${\times}$ 2,5 = 20 500 (đồng)
 Đáp số: 20 500 đồng",B. 20 500 đồng,"Câu hỏi: Mua 10 kg hết 82 000 đồng. Vậy mua 2,5 kg gạo như vậy hết số tiền là:. Các phương án: ['A. 18 000 đồng', 'B. 20 500 đồng', 'C. 205 000 đồng', 'D. 164 000 đồng']. Giải thích: Mua 2,5 kg gạo như vậy hết số tiền là: 82 000 : 10 ${\times}$ 2,5 = 20 500 (đồng)
 Đáp số: 20 500 đồng. Đáp án: B. 20 500 đồng","en: 10 kg of rice for 82,000 VND. 2.5 kg of rice for the following amounts :"
1031,Mua 12 quyển vở hết 60 000 đồng. Hỏi mua 20 quyển vở như thế hết số tiền là:,"['A. 100 000 đồng', 'B. 160 000 đồng', 'C. 180 000 đồng', 'D. 120 000 đồng']","Mua mỗi quyển vở hết số tiền là: 60 000 : 12 = 5 000 (đồng)
 Mua 20 quyển vở như thế hết số tiền là: 5 000 ${\times}$ 20 = 100 000 (đồng)
 Đáp số: 100 000 đồng",A. 100 000 đồng,"Câu hỏi: Mua 12 quyển vở hết 60 000 đồng. Hỏi mua 20 quyển vở như thế hết số tiền là:. Các phương án: ['A. 100 000 đồng', 'B. 160 000 đồng', 'C. 180 000 đồng', 'D. 120 000 đồng']. Giải thích: Mua mỗi quyển vở hết số tiền là: 60 000 : 12 = 5 000 (đồng)
 Mua 20 quyển vở như thế hết số tiền là: 5 000 ${\times}$ 20 = 100 000 (đồng)
 Đáp số: 100 000 đồng. Đáp án: A. 100 000 đồng","en: Purchase 12 of the rights to the $60,000. Ask for 20 of the rights as the proceeds are:"
1032,Mua 15 cái bút hết 45 000 đồng. Vậy mua 40 cái bút hết số tiền là:,"['A. 120 000 đồng', 'B. 240 000 đồng', 'C. 675 000 đồng', 'D. 15 000 đồng']","Mua 1 cái bút hết số tiền là: 45 000 : 15 = 3 000 (đồng)
 Mua 40 cái bút hết số tiền là: 3 000 ${\times}$ 40 = 120 000 (đồng)
 Đáp số: 120 000 đồng",A. 120 000 đồng,"Câu hỏi: Mua 15 cái bút hết 45 000 đồng. Vậy mua 40 cái bút hết số tiền là:. Các phương án: ['A. 120 000 đồng', 'B. 240 000 đồng', 'C. 675 000 đồng', 'D. 15 000 đồng']. Giải thích: Mua 1 cái bút hết số tiền là: 45 000 : 15 = 3 000 (đồng)
 Mua 40 cái bút hết số tiền là: 3 000 ${\times}$ 40 = 120 000 (đồng)
 Đáp số: 120 000 đồng. Đáp án: A. 120 000 đồng","en: The purchase of 15 pens cost 45,000 dollars. The purchase of 40 pens cost 45,000 dollars."
1037,My nhặt được 25 vỏ chai nhựa. An mang 4 vỏ chai nhựa ở nhà đưa thêm cho My. Số vỏ chai nhựa My có tất cả là:,"['A. 25 vỏ chai', 'B. 21 vỏ chai', 'C. 29 vỏ chai', 'D. 65 vỏ chai']","Số vỏ chai nhựa My có tất cả là:
 25 + 4 = 29 (vỏ chai)",C. 29 vỏ chai,"Câu hỏi: My nhặt được 25 vỏ chai nhựa. An mang 4 vỏ chai nhựa ở nhà đưa thêm cho My. Số vỏ chai nhựa My có tất cả là:. Các phương án: ['A. 25 vỏ chai', 'B. 21 vỏ chai', 'C. 29 vỏ chai', 'D. 65 vỏ chai']. Giải thích: Số vỏ chai nhựa My có tất cả là:
 25 + 4 = 29 (vỏ chai). Đáp án: C. 29 vỏ chai",en: My collected 25 plastic bottles. My brought four more from home and gave them to My. My plastic bottles were all:
104,12m7dm = … dm. Số thích hợp điền vào chỗ chấm là:,"['A. 1 207 dm', 'B. 127 dm', 'C. 1 270 dm', 'D. 1 027 dm']",,B. 127 dm,"Câu hỏi: 12m7dm = … dm. Số thích hợp điền vào chỗ chấm là:. Các phương án: ['A. 1 207 dm', 'B. 127 dm', 'C. 1 270 dm', 'D. 1 027 dm']. Giải thích: nan. Đáp án: B. 127 dm",en: The appropriate number to fill in the dot is:
1045,Nam mua 5 quyển vở và đưa cô bán hàng tờ 100 000 đồng. Cô bán hàng trả lại Nam 35 000 đồng. Vậy mỗi quyển vở Nam mua có giá là:,"['A.13 000 đồng', 'B.15 000 đồng', 'C.16 000 đồng', 'D.18 000 đồng']","Số tiền Nam mua 5 quyển vở là: 100 000 – 35 000 = 65 000 (đồng)
 Mỗi quyển vở Nam mua có giá là: 65 000 : 5 = 13 000 (đồng)
 Đáp số: 13 000 đồng",A.13 000 đồng,"Câu hỏi: Nam mua 5 quyển vở và đưa cô bán hàng tờ 100 000 đồng. Cô bán hàng trả lại Nam 35 000 đồng. Vậy mỗi quyển vở Nam mua có giá là:. Các phương án: ['A.13 000 đồng', 'B.15 000 đồng', 'C.16 000 đồng', 'D.18 000 đồng']. Giải thích: Số tiền Nam mua 5 quyển vở là: 100 000 – 35 000 = 65 000 (đồng)
 Mỗi quyển vở Nam mua có giá là: 65 000 : 5 = 13 000 (đồng)
 Đáp số: 13 000 đồng. Đáp án: A.13 000 đồng","en: He bought five pieces of the case and gave the saleswoman $100,000. The saleswoman returned $35,000. Each piece of the case was worth:"
1049,"Năm nay mẹ 36 tuổi, tuổi của con bằng tuổi của mẹ giảm đi 4 lần. Hỏi năm nay con mấy tuổi?","['A. 6 tuổi', 'B. 7 tuổi', 'C. 10 tuổi', 'D. 9 tuổi']",Tuổi của con năm nay là: 36 : 4 = 9 (tuổi),D. 9 tuổi,"Câu hỏi: Năm nay mẹ 36 tuổi, tuổi của con bằng tuổi của mẹ giảm đi 4 lần. Hỏi năm nay con mấy tuổi?. Các phương án: ['A. 6 tuổi', 'B. 7 tuổi', 'C. 10 tuổi', 'D. 9 tuổi']. Giải thích: Tuổi của con năm nay là: 36 : 4 = 9 (tuổi). Đáp án: D. 9 tuổi","en: I'm 36 years old this year, your age is my age four times reduced. How old are you?"
105,15 là tổng của:,"['A. 6 và 7', 'B. 25 và 10', 'C. 9 và 6', 'D. 8 và 8']","Ta có:
 6 + 7 = 13
 15 + 10 = 35
 9 + 6 = 15
 8 + 8 = 16
 Vậy15 là tổng của: 9 và 6",C. 9 và 6,"Câu hỏi: 15 là tổng của:. Các phương án: ['A. 6 và 7', 'B. 25 và 10', 'C. 9 và 6', 'D. 8 và 8']. Giải thích: Ta có:
 6 + 7 = 13
 15 + 10 = 35
 9 + 6 = 15
 8 + 8 = 16
 Vậy15 là tổng của: 9 và 6. Đáp án: C. 9 và 6",en: Fifteen is the sum of the two.
1050,"Năm nay, An 12 tuổi. Bình ít hơn An 4 tuổi. Số tuổi của Bình là:","['A. 8 tuổi', 'B. 16 tuổi', 'C. 9 tuổi', 'D. 7 tuổi']","Số tuổi của Bình là:
 12 – 4 = 8 (tuổi)",A. 8 tuổi,"Câu hỏi: Năm nay, An 12 tuổi. Bình ít hơn An 4 tuổi. Số tuổi của Bình là:. Các phương án: ['A. 8 tuổi', 'B. 16 tuổi', 'C. 9 tuổi', 'D. 7 tuổi']. Giải thích: Số tuổi của Bình là:
 12 – 4 = 8 (tuổi). Đáp án: A. 8 tuổi","en: This year, An is 12 years old. He is 4 years younger than An."
1051,"Năm nay, toàn bộ số vải thiều gia đình bác Minh thu hoạch được đã được hai thương lái thu mua hết tại vườn. Thương lái thứ nhất thu mua 5 450 kg vải thiều, thương lái thứ hai thu mua ít hơn thương lái thứ nhất 2 400 kg. Vậy số vải thiều năm nay gia đình bác Minh thu hoạch được là:","['A. 8 000 kg', 'B. 7 850 kg', 'C. 3 050 kg', 'D. 8 500 kg']","Thương lái thứ hai thu mua số vải thiều là:
 5 450 – 2 400 = 3 050 (kg)
 Số vải thiều năm nay gia đình bác Minh thu hoạch được là:
 5 450 + 3 050 = 8 500 (kg)
 Đáp số: 8 500 kg",D. 8 500 kg,"Câu hỏi: Năm nay, toàn bộ số vải thiều gia đình bác Minh thu hoạch được đã được hai thương lái thu mua hết tại vườn. Thương lái thứ nhất thu mua 5 450 kg vải thiều, thương lái thứ hai thu mua ít hơn thương lái thứ nhất 2 400 kg. Vậy số vải thiều năm nay gia đình bác Minh thu hoạch được là:. Các phương án: ['A. 8 000 kg', 'B. 7 850 kg', 'C. 3 050 kg', 'D. 8 500 kg']. Giải thích: Thương lái thứ hai thu mua số vải thiều là:
 5 450 – 2 400 = 3 050 (kg)
 Số vải thiều năm nay gia đình bác Minh thu hoạch được là:
 5 450 + 3 050 = 8 500 (kg)
 Đáp số: 8 500 kg. Đáp án: D. 8 500 kg","en: This year, all the lychees that Uncle Ming's family harvested were purchased in the garden by two traders. The first trader bought 5,450 kg of lychees, while the second trader bought 2,400 kg less than the first. So Uncle Ming's family's harvest of lychees this year was:"
1054,Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó:,"['A. Tăng lên 10 đơn vị', 'B. Giảm đi 10 đơn vị', 'C. Tăng lên 10 lần', 'D. Giảm đi 10 lần']",Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó tăng lên 10 lần.,C. Tăng lên 10 lần,"Câu hỏi: Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó:. Các phương án: ['A. Tăng lên 10 đơn vị', 'B. Giảm đi 10 đơn vị', 'C. Tăng lên 10 lần', 'D. Giảm đi 10 lần']. Giải thích: Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó tăng lên 10 lần.. Đáp án: C. Tăng lên 10 lần","en: If the fraction of the fraction of the fraction is shifted to the right of the order, the fraction is:"
1056,Nếu ngày 13 tháng 8 là thứ Ba thì ngày 21 tháng 8 là thứ mấy?,"['A. Thứ Sáu', 'B. Thứ Hai', 'C. Thứ Năm', 'D. Thứ Tư']",Ta có: $13 + 7 = 20$ . Vậy ngày 20 vẫn là thứ Ba Vậy ngày 21 là thứ Tư.,D. Thứ Tư,"Câu hỏi: Nếu ngày 13 tháng 8 là thứ Ba thì ngày 21 tháng 8 là thứ mấy?. Các phương án: ['A. Thứ Sáu', 'B. Thứ Hai', 'C. Thứ Năm', 'D. Thứ Tư']. Giải thích: Ta có: $13 + 7 = 20$ . Vậy ngày 20 vẫn là thứ Ba Vậy ngày 21 là thứ Tư.. Đáp án: D. Thứ Tư","en? If August 13 is Tuesday, what is August 3? What is August 3?"
1057,Nếu ngày 15 tháng 3 là thứ Ba thì ngày 21 tháng 3 là thứ mấy?,"['A. Thứ Hai', 'B. Thứ Ba', 'C. Thứ Tư', 'D. Thứ Năm']","Ta có: 21 – 15 = 6 (ngày)
 Vậy ngày 21 tháng 3 là thứ Hai",B. Thứ Ba,"Câu hỏi: Nếu ngày 15 tháng 3 là thứ Ba thì ngày 21 tháng 3 là thứ mấy?. Các phương án: ['A. Thứ Hai', 'B. Thứ Ba', 'C. Thứ Tư', 'D. Thứ Năm']. Giải thích: Ta có: 21 – 15 = 6 (ngày)
 Vậy ngày 21 tháng 3 là thứ Hai. Đáp án: B. Thứ Ba","en March 15 is March Tuesday, what is March 21?"
1058,Nếu ngày 29 tháng 5 là thứ Hai thì ngày 1 tháng 6 cùng năm đó là:,"['A. Thứ Ba', 'B. Thứ Tư', 'C. Thứ Năm', 'D. Thứ Sáu']","Tháng 5 có 31 ngày.Ngày 30 tháng 5 là thứ Ba, 31 tháng 5 là thứ Tư vậy ngày 1 tháng 6 là thứ Năm.",C. Thứ Năm,"Câu hỏi: Nếu ngày 29 tháng 5 là thứ Hai thì ngày 1 tháng 6 cùng năm đó là:. Các phương án: ['A. Thứ Ba', 'B. Thứ Tư', 'C. Thứ Năm', 'D. Thứ Sáu']. Giải thích: Tháng 5 có 31 ngày.Ngày 30 tháng 5 là thứ Ba, 31 tháng 5 là thứ Tư vậy ngày 1 tháng 6 là thứ Năm.. Đáp án: C. Thứ Năm","en: If 29 May is Monday, 1 June of the same year is:"
106,15% của 320 kg là:,"['A. 140 kg', 'B. 401 kg', 'C. 480 kg', 'D. 48 kg']","15% của 320 kg là:320 ${\times}$ 15 : 100 = 48(kg)
 Đáp số: 48 kg",D. 48 kg,"Câu hỏi: 15% của 320 kg là:. Các phương án: ['A. 140 kg', 'B. 401 kg', 'C. 480 kg', 'D. 48 kg']. Giải thích: 15% của 320 kg là:320 ${\times}$ 15 : 100 = 48(kg)
 Đáp số: 48 kg. Đáp án: D. 48 kg",en: 15% of 320 kg is:
1060,Nếu tăng bán kính của mặt cầu lên 4 lần thì diện tích mặt cầu tăng lên bao nhiêu lần?,"['A. 16', 'B. 8', 'C. 4', 'D. 64']",Tăng bán kính mặt cầu lên 4 lần thì diện tích mặt cầu tăng 16 lần.,A. 16,"Câu hỏi: Nếu tăng bán kính của mặt cầu lên 4 lần thì diện tích mặt cầu tăng lên bao nhiêu lần?. Các phương án: ['A. 16', 'B. 8', 'C. 4', 'D. 64']. Giải thích: Tăng bán kính mặt cầu lên 4 lần thì diện tích mặt cầu tăng 16 lần.. Đáp án: A. 16","en, if you increase the radius of the sphere by four times, how many times does the area of the sphere increase?"
1061,Nếu tăng chiều dài và chiều rộng của một hình chữ nhật thêm 8 cm thì chu vi của hình chữ nhật đó tăng thêm là:,"['A.16 cm', 'B. 24 cm', 'C. 32 cm', 'D. 36 cm']","Tổng chiều dài và chiều rộng tăng thế là: $8 + 8 = 16$ (cm)
 Chu vi hình chữ nhật tăng thêm là: 16 ${\times}$ 2 = 32 (cm)
 Đáp số: 32 cm",C. 32 cm,"Câu hỏi: Nếu tăng chiều dài và chiều rộng của một hình chữ nhật thêm 8 cm thì chu vi của hình chữ nhật đó tăng thêm là:. Các phương án: ['A.16 cm', 'B. 24 cm', 'C. 32 cm', 'D. 36 cm']. Giải thích: Tổng chiều dài và chiều rộng tăng thế là: $8 + 8 = 16$ (cm)
 Chu vi hình chữ nhật tăng thêm là: 16 ${\times}$ 2 = 32 (cm)
 Đáp số: 32 cm. Đáp án: C. 32 cm","en: If the length and width of each letter of the circle increases by 8 cm, the circum circumference of the letter increases by 8 cm."
1069,Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ mấy?,"['A. Thứ Hai', 'B. Thứ Ba', 'C. Thứ Tư', 'D. Thứ Năm']","Một tuần có 7 ngày
 Ngày 5 là thứ Sáu thì thứ Sáu tuần sau là ngày 12 (vì 5 + 7 = 12 )
 Vậy ngày 11 là thứ Năm, ngày 10 là thứ Tư.
 Vậy Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ Tư.",C. Thứ Tư,"Câu hỏi: Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ mấy?. Các phương án: ['A. Thứ Hai', 'B. Thứ Ba', 'C. Thứ Tư', 'D. Thứ Năm']. Giải thích: Một tuần có 7 ngày
 Ngày 5 là thứ Sáu thì thứ Sáu tuần sau là ngày 12 (vì 5 + 7 = 12 )
 Vậy ngày 11 là thứ Năm, ngày 10 là thứ Tư.
 Vậy Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ Tư.. Đáp án: C. Thứ Tư","en? July 5 is a Friday, what is July 10? July 5 is a Friday, what is July 10?"
107,15% của 40 là:,"['A. 6', 'B. 300', 'C. 275', 'D. 60']",,A. 6,"Câu hỏi: 15% của 40 là:. Các phương án: ['A. 6', 'B. 300', 'C. 275', 'D. 60']. Giải thích: nan. Đáp án: A. 6",en: 15% of 40 is:
1070,Ngày 6 tháng 6 năm 2022 là Thứ Hai. Vậy Thứ Hai tiếp theo của tháng 6 vào ngày nào?,"['A. Ngày 10', 'B. Ngày 11', 'C. Ngày 12', 'D. Ngày 13']","Một tuần có 7 ngày, Thứ Hai tiếp theo của tháng 6 là ngày 13 (vì 6 + 7 = 13).",D. Ngày 13,"Câu hỏi: Ngày 6 tháng 6 năm 2022 là Thứ Hai. Vậy Thứ Hai tiếp theo của tháng 6 vào ngày nào?. Các phương án: ['A. Ngày 10', 'B. Ngày 11', 'C. Ngày 12', 'D. Ngày 13']. Giải thích: Một tuần có 7 ngày, Thứ Hai tiếp theo của tháng 6 là ngày 13 (vì 6 + 7 = 13).. Đáp án: D. Ngày 13","en: June 6,2022 is Monday. So, what's the next Monday in June?"
